# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg),Air density (kg/m³),Speed of sound (m/s)
112.011,6009.472,-55.037,0.176,18.177,0.599,313.377
112.511,5981.976,-54.949,0.176,18.177,0.601,313.486
113.011,5954.524,-54.861,0.175,18.177,0.603,313.594
113.511,5927.115,-54.773,0.174,18.177,0.605,313.702
114.011,5899.751,-54.686,0.173,18.177,0.607,313.81
114.511,5872.429,-54.599,0.173,18.177,0.609,313.917
115.011,5845.151,-54.513,0.172,18.177,0.611,314.025
115.511,5817.916,-54.427,0.171,18.177,0.613,314.132
116.011,5790.724,-54.342,0.169,18.177,0.614,314.239
116.511,5763.574,-54.257,0.168,18.177,0.616,314.346
117.011,5736.467,-54.173,0.168,18.177,0.618,314.453
117.511,5709.401,-54.089,0.166,18.177,0.62,314.559
118.011,5682.377,-54.006,0.164,18.177,0.622,314.666
118.511,5655.395,-53.924,0.164,18.177,0.624,314.772
119.011,5628.453,-53.842,0.164,18.177,0.626,314.878
119.511,5601.553,-53.76,0.165,18.177,0.628,314.984
120.011,5574.693,-53.678,0.165,18.177,0.629,315.09
120.511,5547.875,-53.595,0.164,18.177,0.631,315.196
121.011,5521.098,-53.513,0.164,18.177,0.633,315.301
121.511,5494.362,-53.431,0.164,18.177,0.635,315.407
122.011,5467.667,-53.349,0.163,18.177,0.637,315.512
122.511,5441.013,-53.268,0.163,18.177,0.639,315.617
123.011,5414.399,-53.186,0.162,18.177,0.641,315.721
123.511,5387.826,-53.105,0.162,18.177,0.643,315.826
124.011,5361.294,-53.024,0.161,18.177,0.645,315.931
124.511,5334.802,-52.944,0.159,18.177,0.647,316.035
125.011,5308.349,-52.865,0.158,18.177,0.649,316.139
125.511,5281.937,-52.785,0.158,18.177,0.65,316.243
126.011,5255.564,-52.706,0.156,18.177,0.652,316.347
126.511,5229.23,-52.628,0.154,18.177,0.654,316.451
127.011,5202.936,-52.551,0.154,18.177,0.656,316.554
127.511,5176.679,-52.474,0.153,18.177,0.658,316.658
128.011,5150.461,-52.398,0.152,18.177,0.66,316.761
128.511,5124.281,-52.322,0.153,18.177,0.662,316.864
129.011,5098.14,-52.245,0.153,18.177,0.664,316.967
129.511,5072.036,-52.169,0.153,18.177,0.666,317.07
130.011,5045.971,-52.092,0.155,18.177,0.668,317.173
130.511,5019.944,-52.015,0.153,18.177,0.67,317.275
131.011,4993.956,-51.938,0.153,18.177,0.672,317.378
131.511,4968.006,-51.862,0.152,18.177,0.674,317.48
132.011,4942.094,-51.786,0.151,18.177,0.676,317.582
132.511,4916.22,-51.71,0.151,18.177,0.677,317.684
133.011,4890.384,-51.635,0.15,18.177,0.679,317.786
133.511,4864.585,-51.56,0.15,18.177,0.681,317.887
134.011,4838.824,-51.485,0.148,18.177,0.683,317.989
134.511,4813.1,-51.411,0.147,18.177,0.685,318.09
135.011,4787.413,-51.337,0.147,18.177,0.687,318.191
135.511,4761.763,-51.264,0.146,18.177,0.689,318.292
136.011,4736.149,-51.191,0.145,18.177,0.691,318.393
136.511,4710.572,-51.118,0.144,18.177,0.693,318.494
137.011,4685.031,-51.046,0.142,18.177,0.695,318.594
137.511,4659.526,-50.975,0.142,18.177,0.697,318.695
138.011,4634.056,-50.904,0.142,18.177,0.699,318.795
138.511,4608.622,-50.833,0.143,18.177,0.701,318.895
139.011,4583.223,-50.762,0.143,18.177,0.703,318.995
139.511,4557.86,-50.69,0.143,18.177,0.705,319.095
140.011,4532.533,-50.619,0.143,18.177,0.707,319.195
140.511,4507.241,-50.547,0.143,18.177,0.709,319.295
141.011,4481.985,-50.476,0.142,18.177,0.71,319.394
141.511,4456.765,-50.405,0.143,18.177,0.712,319.494
142.011,4431.581,-50.333,0.141,18.177,0.714,319.593
142.511,4406.432,-50.263,0.14,18.177,0.716,319.692
143.011,4381.318,-50.193,0.14,18.177,0.718,319.791
143.511,4356.239,-50.123,0.139,18.177,0.72,319.89
144.011,4331.194,-50.054,0.139,18.177,0.722,319.988
144.511,4306.185,-49.984,0.137,18.177,0.724,320.087
145.011,4281.21,-49.916,0.136,18.177,0.726,320.185
145.511,4256.269,-49.848,0.135,18.177,0.728,320.283
146.011,4231.362,-49.78,0.135,18.177,0.73,320.381
146.511,4206.489,-49.713,0.134,18.177,0.732,320.479
147.011,4181.649,-49.646,0.133,18.177,0.734,320.577
147.511,4156.843,-49.579,0.132,18.177,0.736,320.675
148.011,4132.07,-49.513,0.133,18.177,0.738,320.773
148.511,4107.33,-49.447,0.134,18.177,0.74,320.87
149.011,4082.623,-49.38,0.134,18.177,0.742,320.967
149.511,4057.95,-49.313,0.134,18.177,0.744,321.065
150.011,4033.31,-49.246,0.134,18.177,0.746,321.162
150.511,4008.704,-49.179,0.133,18.177,0.748,321.259
151.011,3984.131,-49.113,0.133,18.177,0.75,321.355
151.511,3959.591,-49.046,0.132,18.177,0.752,321.452
152.011,3935.084,-48.98,0.132,18.177,0.754,321.549
152.511,3910.611,-48.914,0.131,18.177,0.756,321.645
153.011,3886.17,-48.848,0.13,18.177,0.758,321.741
153.511,3861.762,-48.783,0.13,18.177,0.76,321.837
154.011,3837.387,-48.718,0.129,18.177,0.762,321.933
154.511,3813.044,-48.654,0.128,18.177,0.764,322.029
155.011,3788.733,-48.59,0.128,18.177,0.766,322.125
155.511,3764.454,-48.526,0.127,18.177,0.768,322.221
156.011,3740.207,-48.462,0.126,18.177,0.77,322.316
156.511,3715.992,-48.399,0.125,18.177,0.772,322.412
157.011,3691.808,-48.336,0.125,18.177,0.774,322.507
157.511,3667.655,-48.274,0.124,18.177,0.776,322.602
158.011,3643.534,-48.212,0.123,18.177,0.778,322.697
158.511,3619.443,-48.151,0.124,18.177,0.78,322.792
159.011,3595.383,-48.088,0.125,18.177,0.782,322.887
159.511,3571.354,-48.026,0.126,18.177,0.784,322.981
160.011,3547.357,-47.963,0.125,18.177,0.786,323.076
160.511,3523.392,-47.9,0.125,18.177,0.788,323.17
161.011,3499.457,-47.838,0.124,18.177,0.79,323.264
161.511,3475.554,-47.776,0.124,18.177,0.792,323.359
162.011,3451.681,-47.714,0.123,18.177,0.794,323.453
162.511,3427.84,-47.652,0.123,18.177,0.796,323.547
163.011,3404.029,-47.591,0.123,18.177,0.798,323.64
163.511,3380.249,-47.529,0.122,18.177,0.8,323.734
164.011,3356.5,-47.468,0.121,18.177,0.802,323.828
164.511,3332.781,-47.408,0.12,18.177,0.804,323.921
165.011,3309.092,-47.347,0.12,18.177,0.806,324.014
165.511,3285.433,-47.288,0.12,18.177,0.808,324.107
166.011,3261.804,-47.228,0.118,18.177,0.81,324.201
166.511,3238.205,-47.168,0.118,18.177,0.812,324.294
167.011,3214.636,-47.11,0.118,18.177,0.814,324.386
167.511,3191.096,-47.051,0.118,18.177,0.816,324.479
168.011,3167.585,-46.991,0.115,18.177,0.818,324.572
168.511,3144.104,-46.934,0.115,18.177,0.82,324.664
169.011,3120.651,-46.876,0.116,18.177,0.822,324.757
169.511,3097.228,-46.818,0.116,18.177,0.824,324.849
170.011,3073.833,-46.76,0.117,18.177,0.826,324.941
170.511,3050.467,-46.702,0.117,18.177,0.828,325.033
171.011,3027.131,-46.644,0.117,18.177,0.83,325.125
171.511,3003.824,-46.585,0.117,18.177,0.832,325.217
172.011,2980.546,-46.527,0.116,18.177,0.834,325.308
172.511,2957.297,-46.469,0.116,18.177,0.836,325.4
173.011,2934.077,-46.411,0.115,18.177,0.838,325.491
173.511,2910.886,-46.353,0.115,18.177,0.841,325.583
174.011,2887.724,-46.296,0.114,18.177,0.843,325.674
174.511,2864.59,-46.239,0.113,18.177,0.845,325.765
175.011,2841.485,-46.182,0.113,18.177,0.847,325.856
175.511,2818.408,-46.126,0.114,18.177,0.849,325.947
176.011,2795.359,-46.069,0.112,18.177,0.851,326.038
176.511,2772.338,-46.013,0.111,18.177,0.853,326.129
177.011,2749.346,-45.958,0.11,18.177,0.855,326.219
177.511,2726.38,-45.903,0.11,18.177,0.857,326.31
178.011,2703.443,-45.848,0.11,18.177,0.859,326.4
178.511,2680.533,-45.793,0.108,18.177,0.861,326.49
179.011,2657.65,-45.739,0.108,18.177,0.863,326.58
179.511,2634.794,-45.685,0.113,18.177,0.865,326.67
180.011,2611.965,-45.629,0.108,18.177,0.867,326.76
180.511,2589.164,-45.575,0.109,18.177,0.869,326.85
181.011,2566.391,-45.52,0.109,18.177,0.871,326.94
181.511,2543.644,-45.466,0.109,18.177,0.873,327.029
182.011,2520.925,-45.411,0.109,18.177,0.875,327.119
182.511,2498.233,-45.357,0.109,18.177,0.877,327.208
183.011,2475.568,-45.303,0.108,18.177,0.88,327.298
183.511,2452.93,-45.249,0.108,18.177,0.882,327.387
184.011,2430.319,-45.194,0.109,18.177,0.884,327.476
184.511,2407.736,-45.14,0.111,18.177,0.886,327.565
185.011,2385.18,-45.085,0.11,18.177,0.888,327.654
185.511,2362.651,-45.03,0.105,18.177,0.89,327.742
186.011,2340.149,-44.978,0.104,18.177,0.892,327.831
186.511,2317.673,-44.926,0.104,18.177,0.894,327.919
187.011,2295.223,-44.873,0.104,18.177,0.896,328.008
187.511,2272.8,-44.822,0.103,18.177,0.898,328.096
188.011,2250.402,-44.77,0.103,18.177,0.9,328.184
188.511,2228.03,-44.718,0.103,18.177,0.902,328.273
189.011,2205.683,-44.667,0.102,18.177,0.904,328.361
189.511,2183.362,-44.616,0.101,18.177,0.906,328.449
190.011,2161.067,-44.565,0.101,18.177,0.908,328.536
190.511,2138.797,-44.515,0.101,18.177,0.91,328.624
191.011,2116.552,-44.464,0.102,18.177,0.913,328.712
191.511,2094.332,-44.413,0.102,18.177,0.915,328.799
192.011,2072.138,-44.362,0.103,18.177,0.917,328.887
192.511,2049.97,-44.311,0.106,18.177,0.919,328.974
193.011,2027.828,-44.258,0.102,18.177,0.921,329.061
193.511,2005.712,-44.207,0.102,18.177,0.923,329.148
194.011,1983.621,-44.156,0.102,18.177,0.925,329.235
194.511,1961.555,-44.105,0.101,18.177,0.927,329.322
195.011,1939.515,-44.055,0.101,18.177,0.93,329.409
195.511,1917.501,-44.004,0.1,18.177,0.932,329.496
196.011,1895.511,-43.954,0.101,18.177,0.934,329.582
196.511,1873.547,-43.903,0.099,18.177,0.936,329.669
197.011,1851.607,-43.854,0.102,18.177,0.938,329.755
197.511,1829.693,-43.803,0.098,18.177,0.94,329.842
198.011,1807.804,-43.754,0.098,18.177,0.942,329.928
198.511,1785.94,-43.705,0.097,18.177,0.944,330.014
199.011,1764.099,-43.656,0.097,18.177,0.946,330.1
199.511,1742.283,-43.608,0.096,18.177,0.948,330.186
200.011,1720.492,-43.56,0.096,18.177,0.95,330.272
200.511,1698.724,-43.512,0.095,18.177,0.952,330.358
201.011,1676.98,-43.464,0.095,18.177,0.955,330.443
201.511,1655.26,-43.416,0.095,18.177,0.957,330.529
202.011,1633.564,-43.369,0.095,18.177,0.959,330.614
202.511,1611.891,-43.321,0.096,18.177,0.961,330.7
203.011,1590.242,-43.274,0.096,18.177,0.963,330.785
203.511,1568.618,-43.225,0.096,18.177,0.965,330.87
204.011,1547.017,-43.177,0.096,18.177,0.967,330.955
204.511,1525.441,-43.129,0.096,18.177,0.97,331.04
205.011,1503.888,-43.081,0.099,18.177,0.972,331.125
205.511,1482.36,-43.032,0.095,18.177,0.974,331.21
206.011,1460.856,-42.984,0.096,18.177,0.976,331.294
206.511,1439.376,-42.936,0.094,18.177,0.978,331.379
207.011,1417.92,-42.889,0.094,18.177,0.98,331.464
207.511,1396.487,-42.842,0.094,18.177,0.982,331.548
208.011,1375.078,-42.795,0.093,18.177,0.984,331.632
208.511,1353.692,-42.748,0.093,18.177,0.987,331.717
209.011,1332.329,-42.702,0.092,18.177,0.989,331.801
209.511,1310.99,-42.656,0.092,18.177,0.991,331.885
210.011,1289.674,-42.609,0.093,18.177,0.993,331.969
210.511,1268.381,-42.563,0.091,18.177,0.995,332.053
211.011,1247.111,-42.517,0.092,18.177,0.997,332.136
211.511,1225.864,-42.472,0.09,18.177,0.999,332.22
212.011,1204.639,-42.427,0.09,18.177,1.001,332.304
212.511,1183.437,-42.382,0.089,18.177,1.003,332.387
213.011,1162.257,-42.337,0.089,18.177,1.005,332.471
213.511,1141.1,-42.293,0.089,18.177,1.008,332.554
214.011,1119.964,-42.248,0.09,18.177,1.01,332.637
214.511,1098.851,-42.203,0.091,18.177,1.012,332.72
215.011,1077.761,-42.158,0.09,18.177,1.014,332.804
215.511,1056.694,-42.113,0.092,18.177,1.016,332.886
216.011,1035.649,-42.067,0.09,18.177,1.019,332.969
216.511,1014.626,-42.022,0.09,18.177,1.021,333.052
217.011,993.627,-41.977,0.09,18.177,1.023,333.135
217.511,972.65,-41.932,0.089,18.177,1.025,333.218
218.011,951.695,-41.887,0.089,18.177,1.027,333.3
218.511,930.763,-41.843,0.088,18.177,1.029,333.383
219.011,909.852,-41.798,0.09,18.177,1.032,333.465
219.511,888.964,-41.753,0.088,18.177,1.034,333.547
220.011,868.099,-41.709,0.087,18.177,1.036,333.629
220.511,847.255,-41.666,0.088,18.177,1.038,333.711
221.011,826.433,-41.622,0.087,18.177,1.04,333.793
221.511,805.633,-41.578,0.087,18.177,1.042,333.875
222.011,784.855,-41.535,0.087,18.177,1.044,333.957
222.511,764.098,-41.491,0.085,18.177,1.047,334.039
223.011,743.363,-41.449,0.085,18.177,1.049,334.121
223.511,722.65,-41.407,0.084,18.177,1.051,334.202
224.011,701.957,-41.365,0.085,18.177,1.053,334.284
224.511,681.285,-41.322,0.085,18.177,1.055,334.365
225.011,660.634,-41.28,0.084,18.177,1.057,334.447
225.511,640.005,-41.238,0.086,18.177,1.059,334.528
226.011,619.397,-41.195,0.083,18.177,1.062,334.609
226.511,598.81,-41.154,0.084,18.177,1.064,334.69
227.011,578.243,-41.111,0.084,18.177,1.066,334.771
227.511,557.698,-41.069,0.084,18.177,1.068,334.852
228.011,537.174,-41.027,0.084,18.177,1.07,334.933
228.511,516.671,-40.985,0.084,18.177,1.073,335.014
229.011,496.189,-40.943,0.084,18.177,1.075,335.094
229.511,475.729,-40.901,0.086,18.177,1.077,335.175
230.011,455.289,-40.858,0.086,18.177,1.079,335.255
230.511,434.871,-40.815,0.083,18.177,1.081,335.336
231.011,414.474,-40.773,0.082,18.177,1.084,335.416
231.511,394.098,-40.732,0.083,18.177,1.086,335.496
232.011,373.742,-40.69,0.085,18.177,1.088,335.577
232.511,353.408,-40.648,0.081,18.177,1.09,335.657
233.011,333.094,-40.607,0.081,18.177,1.092,335.737
233.511,312.8,-40.567,0.081,18.177,1.095,335.817
234.011,292.527,-40.526,0.08,18.177,1.097,335.897
234.511,272.274,-40.486,0.08,18.177,1.099,335.976
235.011,252.041,-40.446,0.082,18.177,1.101,336.056
235.511,231.828,-40.405,0.079,18.177,1.103,336.136
236.011,211.636,-40.366,0.08,18.177,1.105,336.215
236.511,191.463,-40.325,0.079,18.177,1.107,336.295
237.011,171.31,-40.286,0.078,18.177,1.11,336.374
237.511,151.177,-40.247,0.078,18.177,1.112,336.453
238.011,131.063,-40.208,0.079,18.177,1.114,336.533
238.511,110.969,-40.169,0.079,18.177,1.116,336.612
239.011,90.894,-40.129,0.081,18.177,1.119,336.691
239.511,70.84,-40.089,0.079,18.177,1.121,336.77
240.011,50.806,-40.049,0.083,18.177,1.123,336.849
240.511,30.791,-40.008,0.079,18.177,1.125,336.928
241.011,10.797,-39.968,0.079,18.177,1.127,337.006
241.281,0,-39.947,0.081,18.177,1.129,337.049
