# Time (s),Mass (g)
25.357,2.328e4
25.407,2.328e4
25.457,2.328e4
25.507,2.328e4
25.557,2.328e4
25.607,2.328e4
25.657,2.328e4
25.707,2.328e4
25.757,2.328e4
25.807,2.328e4
25.857,2.328e4
25.907,2.328e4
25.957,2.328e4
26.007,2.328e4
26.057,2.328e4
26.107,2.328e4
26.157,2.328e4
26.207,2.328e4
26.257,2.328e4
26.307,2.328e4
26.357,2.328e4
26.407,2.328e4
26.457,2.328e4
26.507,2.328e4
26.557,2.328e4
26.607,2.328e4
26.657,2.328e4
26.707,2.328e4
26.757,2.328e4
26.807,2.328e4
26.857,2.328e4
26.907,2.328e4
26.957,2.328e4
27.007,2.328e4
27.057,2.328e4
27.107,2.328e4
27.157,2.328e4
27.207,2.328e4
27.257,2.328e4
27.307,2.328e4
27.357,2.328e4
27.407,2.328e4
27.457,2.328e4
27.507,2.328e4
27.557,2.328e4
27.607,2.328e4
27.657,2.328e4
27.707,2.328e4
27.757,2.328e4
27.807,2.328e4
27.857,2.328e4
27.907,2.328e4
27.957,2.328e4
28.007,2.328e4
28.057,2.328e4
28.107,2.328e4
28.157,2.328e4
28.207,2.328e4
28.257,2.328e4
28.307,2.328e4
28.357,2.328e4
28.407,2.328e4
28.457,2.328e4
28.507,2.328e4
28.557,2.328e4
28.607,2.328e4
28.657,2.328e4
28.707,2.328e4
28.757,2.328e4
28.807,2.328e4
28.857,2.328e4
28.907,2.328e4
28.957,2.328e4
29.007,2.328e4
29.057,2.328e4
29.107,2.328e4
29.157,2.328e4
29.207,2.328e4
29.257,2.328e4
29.307,2.328e4
29.357,2.328e4
29.407,2.328e4
29.457,2.328e4
29.507,2.328e4
29.557,2.328e4
29.607,2.328e4
29.657,2.328e4
29.707,2.328e4
29.757,2.328e4
29.807,2.328e4
29.857,2.328e4
29.907,2.328e4
29.957,2.328e4
30.007,2.328e4
30.057,2.328e4
30.107,2.328e4
30.157,2.328e4
30.207,2.328e4
30.257,2.328e4
30.307,2.328e4
30.357,2.328e4
30.407,2.328e4
30.457,2.328e4
30.507,2.328e4
30.557,2.328e4
30.607,2.328e4
30.657,2.328e4
30.707,2.328e4
30.757,2.328e4
30.807,2.328e4
30.857,2.328e4
30.907,2.328e4
30.957,2.328e4
31.007,2.328e4
31.057,2.328e4
31.107,2.328e4
31.157,2.328e4
31.207,2.328e4
31.257,2.328e4
31.307,2.328e4
31.357,2.328e4
31.407,2.328e4
31.457,2.328e4
31.507,2.328e4
31.557,2.328e4
31.607,2.328e4
31.657,2.328e4
31.707,2.328e4
31.757,2.328e4
31.807,2.328e4
31.857,2.328e4
31.907,2.328e4
31.957,2.328e4
32.007,2.328e4
32.057,2.328e4
32.107,2.328e4
32.157,2.328e4
32.207,2.328e4
32.257,2.328e4
32.307,2.328e4
32.357,2.328e4
32.407,2.328e4
32.457,2.328e4
32.507,2.328e4
32.557,2.328e4
32.607,2.328e4
32.657,2.328e4
32.707,2.328e4
32.757,2.328e4
32.807,2.328e4
32.857,2.328e4
32.907,2.328e4
32.957,2.328e4
33.007,2.328e4
33.057,2.328e4
33.107,2.328e4
33.157,2.328e4
33.207,2.328e4
33.257,2.328e4
33.307,2.328e4
33.357,2.328e4
33.407,2.328e4
33.457,2.328e4
33.507,2.328e4
33.557,2.328e4
33.607,2.328e4
33.657,2.328e4
33.707,2.328e4
33.757,2.328e4
33.807,2.328e4
33.857,2.328e4
33.907,2.328e4
33.957,2.328e4
34.007,2.328e4
34.057,2.328e4
34.107,2.328e4
